Date-Time,PM2.5
2013-03-01,186.80645161290323
2013-04-01,104.5
2013-05-01,167.06451612903226
2013-06-01,180.7
2013-07-01,119.12903225806451
2013-08-01,112.16129032258064
2013-09-01,131.76666666666668
2013-10-01,178.74193548387098
2013-11-01,157.16666666666666
2013-12-01,158.4516129032258
2014-01-01,192.48387096774192
2014-02-01,234.17857142857142
2014-03-01,169.83870967741936
2014-04-01,150.9051282051282
2014-05-01,125.74193548387096
2014-06-01,116.7
2014-07-01,146.4516129032258
2014-08-01,113.50322580645161
2014-09-01,120.06666666666666
2014-10-01,201.09677419354838
2014-11-01,193.5
2014-12-01,87.21699174793697
2015-01-01,180.58064516129033
2015-02-01,163.67857142857142
2015-03-01,147.90322580645162
2015-04-01,143.4936507936508
2015-05-01,111.19354838709677
2015-06-01,105.33333333333333
2015-07-01,106.19354838709677
2015-08-01,82.77290322580646
2015-09-01,90.8
2015-10-01,129.67741935483872
2015-11-01,186.83333333333334
2015-12-01,269.06451612903226
2016-01-01,147.32258064516128
2016-02-01,101.86206896551724
